"觀測時間(month)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","降水日數(day)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","最大日降水量(mm)","最大日降水量時間(LST)","相對溼度(%)","日照時數(hour)","全天空日射量(MJ/㎡)","平均日最高紫外線指數","月最高紫外線指數","月最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","Precp1DayMax","Precp1DayMaxTime","RH","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount"
"01","1017.1","1020.3","1022.4","2019/01/01 09:48:00","1012.2","2019/01/14 15:08:00","19.7","28.9","2019/01/05 13:52:00","11.9","2019/01/23 05:43:00","15.5","3.5","350","13.3","340","2019/01/17 11:22:00","T","3.2","0","T","2019/01/15 23:48:00","T","2019/01/15 23:48:00","T","2019/01/15 00:00:00","77","176.4","423.44","7","8","2019/01/30 13:00:00","5.2"
"02","1015.3","1018.5","1021.8","2019/02/12 08:46:00","1009.9","2019/02/07 15:16:00","22.0","31.0","2019/02/07 13:28:00","15.7","2019/02/01 06:21:00","17.4","3.4","340","12.9","330","2019/02/23 03:15:00","1.5","6.4","2","0.5","2019/02/25 02:08:00","0.5","2019/02/25 01:18:00","1.0","2019/02/24 00:00:00","76","211.3","485.28","9","10","2019/02/20 13:00:00","4.1"
"03","1012.5","1015.7","1017.9","2019/03/15 09:05:00","1006.3","2019/03/03 05:11:00","22.5","30.7","2019/03/19 13:20:00","13.8","2019/03/08 02:51:00","18.0","2.8","350","14.4","340","2019/03/15 13:27:00","74.5","42.7","11","7.0","2019/03/23 07:54:00","11.5","2019/03/23 10:50:00","19.5","2019/03/23 00:00:00","77","188.8","504.88","9","13","2019/03/29 13:00:00","5.4"
"04","1009.7","1012.8","1017.6","2019/04/01 08:49:00","1003.9","2019/04/30 15:44:00","26.0","32.9","2019/04/20 12:28:00","18.7","2019/04/02 01:37:00","20.6","2.6","340","18.3","250","2019/04/19 14:58:00","88.0","12.8","3","16.0","2019/04/19 04:05:00","49.5","2019/04/19 03:56:00","68.5","2019/04/19 00:00:00","73","206.6","608.23","10","13","2019/04/25 13:00:00","5.0"
"05","1007.1","1010.2","1012.0","2019/05/03 10:39:00","1002.8","2019/05/18 03:12:00","26.9","33.9","2019/05/14 12:56:00","20.2","2019/05/08 00:29:00","22.0","2.2","350","21.2","320","2019/05/20 15:18:00","168.0","38.0","12","15.5","2019/05/20 15:38:00","44.0","2019/05/20 15:38:00","61.5","2019/05/20 00:00:00","75","134.4","529.20","9","13","2019/05/14 13:00:00","7.4"
"06","1004.6","1007.7","1010.0","2019/06/05 22:12:00","997.9","2019/06/14 14:49:00","29.3","34.6","2019/06/18 10:59:00","24.5","2019/06/10 14:52:00","24.0","2.3","160","16.5","220","2019/06/10 14:44:00","273.5","43.7","14","18.0","2019/06/11 10:58:00","51.5","2019/06/11 10:26:00","114.0","2019/06/11 00:00:00","74","183.5","566.62","10","14","2019/06/02 13:00:00","6.8"
"07","1003.8","1006.8","1009.6","2019/07/11 22:34:00","992.0","2019/07/17 17:18:00","29.2","35.4","2019/07/17 14:55:00","24.5","2019/07/04 05:14:00","24.4","2.7","100","14.6","140","2019/07/02 12:19:00","573.0","76.2","20","20.0","2019/07/03 06:59:00","61.0","2019/07/10 18:03:00","129.5","2019/07/03 00:00:00","76","174.2","552.36","9","12","2019/07/23 13:00:00","7.1"
"08","1001.0","1004.1","1009.1","2019/08/26 21:33:00","982.7","2019/08/24 15:03:00","28.7","34.6","2019/08/04 14:06:00","23.8","2019/08/13 11:53:00","24.6","2.8","100","25.2","130","2019/08/24 18:12:00","758.0","89.1","22","23.0","2019/08/02 14:44:00","64.0","2019/08/13 02:42:00","221.5","2019/08/13 00:00:00","79","122.0","450.49","8","11","2019/08/03 13:00:00","7.6"
"09","1005.6","1008.7","1014.9","2019/09/24 21:36:00","995.3","2019/09/30 15:20:00","28.4","33.9","2019/09/01 13:17:00","23.3","2019/09/24 05:49:00","22.6","2.6","350","18.6","350","2019/09/21 08:48:00","180.0","17.4","8","15.0","2019/09/10 00:48:00","60.0","2019/09/04 07:45:00","82.0","2019/09/04 00:00:00","71","202.6","558.71","8","11","2019/09/02 13:00:00","5.6"
